range,cnt
-5.0,1375
10.0,21309261
-1.0,8467337
-6.0,239
-7.0,35
4.0,144678987
-9.0,2
1.0,32242194
-4.0,18489
13.0,10452
7.0,88030193
8.0,57828663
18.0,1
16.0,2
-8.0,2
12.0,549376
6.0,92522214
9.0,39078110
0.0,17276630
2.0,45327464
5.0,149938593
-2.0,1450519
3.0,99827031
11.0,4102196
15.0,3
14.0,25
-3.0,68218
