range,cnt
-7.0,20233890
7.0,784701
-10.0,3821304
12.0,3
-5.0,84192848
10.0,44
-1.0,140637899
-6.0,77550769
0.0,122927895
-9.0,3512345
5.0,3829569
2.0,26028852
-8.0,5369721
-15.0,2
9.0,4813
8.0,231312
-11.0,541928
-2.0,165202657
-3.0,125464835
-12.0,256702
3.0,8519781
11.0,6
6.0,8382984
-4.0,92533431
1.0,99750251
-13.0,44129
-14.0,96
4.0,1285979
