range,cnt
-7.0,183441765
-19.0,159
-1.0,52853
-6.0,213540052
2.0,2
-11.0,5662969
-15.0,30644
-13.0,1182203
-18.0,2764
-5.0,305705629
1.0,362
-9.0,17790184
-4.0,93665250
-17.0,45623
0.0,776
-8.0,62426185
-2.0,13712845
-20.0,2
-16.0,84271
-3.0,93424645
-12.0,5200363
-10.0,4421481
-14.0,99679
