range,cnt
-1.0,251103298
-6.0,7712760
1.0,144309489
7.0,534869
4.0,1677005
-7.0,5263312
-4.0,48323982
-10.0,16608
6.0,11804133
10.0,83
-2.0,183230835
-5.0,27216082
-12.0,2
-9.0,304412
8.0,5880
-11.0,27
9.0,216
2.0,43257798
3.0,12458759
11.0,24
-8.0,482086
0.0,191266588
5.0,1375380
-3.0,115097506
12.0,10
