range,cnt
-1.0,24873309
-6.0,82265
7.0,62378332
13.0,104825
12.0,341637
14.0,14
-10.0,63
10.0,15357173
-7.0,23007
5.0,82396958
8.0,46079294
-11.0,11
18.0,1
4.0,123952171
2.0,69755351
-13.0,1
1.0,52551188
0.0,40215337
15.0,2
-3.0,5107234
-9.0,134
-8.0,430
-2.0,16590984
-4.0,1736147
6.0,77231296
-12.0,1
9.0,31666148
-5.0,458236
3.0,101484308
11.0,3699579
