range,cnt
4.0,34972803
9.0,91349
1.0,695680
5.0,22637549
-2.0,9
2.0,5611498
3.0,53155276
11.0,127
6.0,20293298
-1.0,668
10.0,396
0.0,119095
7.0,5989633
8.0,713346
