range,cnt
7.0,5989633
-1.0,668
10.0,396
0.0,119095
9.0,91349
5.0,22637549
8.0,713346
6.0,20293298
4.0,34972803
2.0,5611498
3.0,53155276
11.0,127
-2.0,9
1.0,695680
